iter	Logloss
0	0.6578498297
1	0.6258912674
2	0.5968933989
3	0.5705336971
4	0.5465107251
5	0.5245405524
6	0.5043965401
7	0.4859071596
8	0.4688267233
9	0.4531339442
10	0.4386678733
11	0.425322483
12	0.4129515896
13	0.4015395197
14	0.3910035085
15	0.3812519221
16	0.3722315044
17	0.3638763958
18	0.356159608
19	0.3489815901
20	0.3423329789
21	0.336196414
22	0.330474265
23	0.3252050824
24	0.3203175015
25	0.3157724449
26	0.3115525465
27	0.3076310406
28	0.3039953239
29	0.3006220943
30	0.2974909213
31	0.2945954746
32	0.2919042496
33	0.2894192816
34	0.2871197036
35	0.2849958364
36	0.2830186221
37	0.2812190899
38	0.2795201613
39	0.2779734079
40	0.2765175735
41	0.2751737372
42	0.2739254226
43	0.2727949135
44	0.2717201341
45	0.270731959
46	0.2697990424
47	0.2689641151
48	0.2681774745
49	0.2674709289
50	0.2668224745
51	0.266202015
52	0.265618182
53	0.2650741215
54	0.2645832758
55	0.2641050269
56	0.2636789195
57	0.263293529
58	0.2629273892
59	0.2625895315
60	0.2622675895
61	0.2619749669
62	0.2617019939
63	0.2614551458
64	0.2612154396
65	0.26100679
66	0.2608069096
67	0.2606175342
68	0.2604335224
69	0.260243338
70	0.2600841283
71	0.2599452494
72	0.2598071725
73	0.2596803076
74	0.2595533942
75	0.2594376754
76	0.2593367899
77	0.2592270978
78	0.259132151
79	0.2590454462
80	0.258934567
81	0.2588551971
82	0.2587597978
83	0.2586870502
84	0.2586000661
85	0.258544183
86	0.258458509
87	0.2583750507
88	0.2583135724
89	0.2582536102
90	0.2581813635
91	0.2581201142
92	0.2580710408
93	0.2580154369
94	0.2579706709
95	0.2579128091
96	0.2578691369
97	0.2578243978
98	0.2577878003
99	0.2577534961
